"filename", "language", "JSON", "Properties", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Code\2024\learning-service-next\.env", "Properties", 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Code\2024\learning-service-next\.eslintrc.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Code\2024\learning-service-next\README.md", "Markdown", 0, 0, 0, 0, 2139, 0, 0, 0, 0, 17, 2156
"c:\Code\2024\learning-service-next\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 1, 4, 20
"c:\Code\2024\learning-service-next\package-lock.json", "JSON", 9009, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9010
"c:\Code\2024\learning-service-next\package.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Code\2024\learning-service-next\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 1, 2, 10
"c:\Code\2024\learning-service-next\public\images\site.webmanifest", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Code\2024\learning-service-next\src\app\api\add-points\route.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 8, 52
"c:\Code\2024\learning-service-next\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Code\2024\learning-service-next\src\app\api\auth\login\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 3, 8, 47
"c:\Code\2024\learning-service-next\src\app\api\auth\logout\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 4, 10, 51
"c:\Code\2024\learning-service-next\src\app\api\auth\refresh\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 3, 9, 48
"c:\Code\2024\learning-service-next\src\app\api\auth\signup\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 7, 36
"c:\Code\2024\learning-service-next\src\app\api\courses\[id]\route.ts", "TypeScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 13, 104
"c:\Code\2024\learning-service-next\src\app\api\courses\route.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"c:\Code\2024\learning-service-next\src\app\api\enrollments\[id]\route.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 8, 77
"c:\Code\2024\learning-service-next\src\app\api\enrollments\route.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 11, 81
"c:\Code\2024\learning-service-next\src\app\api\images\[id]\route.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 8, 68
"c:\Code\2024\learning-service-next\src\app\api\images\route.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 1, 10, 84
"c:\Code\2024\learning-service-next\src\app\api\images\sync\route.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 2, 9, 59
"c:\Code\2024\learning-service-next\src\app\api\instructors\route.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 6, 5, 40
"c:\Code\2024\learning-service-next\src\app\api\me\courses\[id]\purchase\route.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 8, 56
"c:\Code\2024\learning-service-next\src\app\api\me\courses\[id]\route.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\Code\2024\learning-service-next\src\app\api\me\courses\route.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Code\2024\learning-service-next\src\app\api\me\route.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 18, 94
"c:\Code\2024\learning-service-next\src\app\api\mobile\auth\login\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 8, 50
"c:\Code\2024\learning-service-next\src\app\api\settings\[id]\route.ts", "TypeScript", 0, 0, 0, 92, 0, 0, 0, 0, 6, 14, 112
"c:\Code\2024\learning-service-next\src\app\api\settings\image-providers\route.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 1, 5, 43
"c:\Code\2024\learning-service-next\src\app\api\settings\key\[key]\route.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 6, 13, 112
"c:\Code\2024\learning-service-next\src\app\api\settings\public\route.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Code\2024\learning-service-next\src\app\api\settings\route.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 9, 56
"c:\Code\2024\learning-service-next\src\app\api\setup\route.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 9, 82
"c:\Code\2024\learning-service-next\src\app\api\stripe-webhook\route.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 4, 17, 101
"c:\Code\2024\learning-service-next\src\app\api\top-up\route.ts", "TypeScript", 0, 0, 0, 132, 0, 0, 0, 0, 1, 21, 154
"c:\Code\2024\learning-service-next\src\app\api\users\[id]\route.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 11, 101
"c:\Code\2024\learning-service-next\src\app\api\users\route.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 9, 69
"c:\Code\2024\learning-service-next\src\app\courses\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 140, 1, 18, 159
"c:\Code\2024\learning-service-next\src\app\courses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 179, 2, 19, 200
"c:\Code\2024\learning-service-next\src\app\dashboard\add-points\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 18, 170
"c:\Code\2024\learning-service-next\src\app\dashboard\courses\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 7, 57
"c:\Code\2024\learning-service-next\src\app\dashboard\courses\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Code\2024\learning-service-next\src\app\dashboard\courses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 162, 4, 8, 174
"c:\Code\2024\learning-service-next\src\app\dashboard\enrollments\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Code\2024\learning-service-next\src\app\dashboard\enrollments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 123, 4, 8, 135
"c:\Code\2024\learning-service-next\src\app\dashboard\head.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 10
"c:\Code\2024\learning-service-next\src\app\dashboard\images\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 174, 3, 20, 197
"c:\Code\2024\learning-service-next\src\app\dashboard\images\upload\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 169, 1, 21, 191
"c:\Code\2024\learning-service-next\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 5, 68
"c:\Code\2024\learning-service-next\src\app\dashboard\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 0, 17, 149
"c:\Code\2024\learning-service-next\src\app\dashboard\users\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 7, 52
"c:\Code\2024\learning-service-next\src\app\dashboard\users\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"c:\Code\2024\learning-service-next\src\app\dashboard\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 170, 4, 8, 182
"c:\Code\2024\learning-service-next\src\app\head.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Code\2024\learning-service-next\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 2, 4, 61
"c:\Code\2024\learning-service-next\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 3, 13, 159
"c:\Code\2024\learning-service-next\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"c:\Code\2024\learning-service-next\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 118, 0, 16, 134
"c:\Code\2024\learning-service-next\src\app\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 158, 1, 13, 172
"c:\Code\2024\learning-service-next\src\app\top-up\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 230, 0, 27, 257
"c:\Code\2024\learning-service-next\src\components\CacheImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 3, 15, 127
"c:\Code\2024\learning-service-next\src\components\ClientSessionProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Code\2024\learning-service-next\src\components\ContactUsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 1, 7, 129
"c:\Code\2024\learning-service-next\src\components\CourseContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 323, 0, 25, 348
"c:\Code\2024\learning-service-next\src\components\CoursePurchase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 196, 1, 18, 215
"c:\Code\2024\learning-service-next\src\components\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 199, 0, 7, 206
"c:\Code\2024\learning-service-next\src\components\ExpandableContent.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 1, 1, 10
"c:\Code\2024\learning-service-next\src\components\ExpandableContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 7, 51
"c:\Code\2024\learning-service-next\src\components\FeaturedCoursesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 221, 1, 20, 242
"c:\Code\2024\learning-service-next\src\components\GuideBookModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 4, 33
"c:\Code\2024\learning-service-next\src\components\HeroSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 1, 4, 51
"c:\Code\2024\learning-service-next\src\components\InstructorsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 3, 15, 134
"c:\Code\2024\learning-service-next\src\components\LayoutRouter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 0, 18, 79
"c:\Code\2024\learning-service-next\src\components\LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 2, 5, 31
"c:\Code\2024\learning-service-next\src\components\MainLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 189, 0, 15, 204
"c:\Code\2024\learning-service-next\src\components\MessengerChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 2, 8, 48
"c:\Code\2024\learning-service-next\src\components\ReviewsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 1, 8, 92
"c:\Code\2024\learning-service-next\src\components\SettingsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 168, 3, 21, 192
"c:\Code\2024\learning-service-next\src\components\SettingsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 5, 63
"c:\Code\2024\learning-service-next\src\components\SetupPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 193, 0, 21, 214
"c:\Code\2024\learning-service-next\src\components\SortableItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 6, 41
"c:\Code\2024\learning-service-next\src\components\UserAvatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 94, 1, 6, 101
"c:\Code\2024\learning-service-next\src\components\forms\CourseForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 296, 3, 24, 323
"c:\Code\2024\learning-service-next\src\components\forms\EnrollmentForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 158, 0, 21, 179
"c:\Code\2024\learning-service-next\src\components\forms\ProfileUpdateForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 114, 1, 16, 131
"c:\Code\2024\learning-service-next\src\components\forms\UserForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 125, 1, 22, 148
"c:\Code\2024\learning-service-next\src\components\forms\inputs\ChaptersModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 14, 141
"c:\Code\2024\learning-service-next\src\components\forms\inputs\ImageSelection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 179, 3, 16, 198
"c:\Code\2024\learning-service-next\src\components\forms\inputs\InstructorSelection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 6, 48
"c:\Code\2024\learning-service-next\src\components\forms\inputs\LiveCourseInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 172, 0, 16, 188
"c:\Code\2024\learning-service-next\src\components\forms\inputs\LiveSessionsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 166, 0, 10, 176
"c:\Code\2024\learning-service-next\src\components\forms\inputs\ResourceModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 9, 104
"c:\Code\2024\learning-service-next\src\components\forms\inputs\RichTextEditor.css", "CSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Code\2024\learning-service-next\src\components\forms\inputs\RichTextEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 7, 44
"c:\Code\2024\learning-service-next\src\components\forms\inputs\VideoModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 1, 12, 120
"c:\Code\2024\learning-service-next\src\config\authOptions.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 7, 87
"c:\Code\2024\learning-service-next\src\config\navigations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 182, 0, 3, 185
"c:\Code\2024\learning-service-next\src\config\settingKeys.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 0, 0, 5, 7, 115
"c:\Code\2024\learning-service-next\src\contexts\SettingsContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 1, 7, 38
"c:\Code\2024\learning-service-next\src\contexts\UserContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 3, 14, 78
"c:\Code\2024\learning-service-next\src\middlewares\authMiddleware.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 2, 16, 107
"c:\Code\2024\learning-service-next\src\models\CourseModel.ts", "TypeScript", 0, 0, 0, 196, 0, 0, 0, 0, 4, 26, 226
"c:\Code\2024\learning-service-next\src\models\EnrollmentModel.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 9, 73
"c:\Code\2024\learning-service-next\src\models\ImageModel.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Code\2024\learning-service-next\src\models\PaymentModel.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"c:\Code\2024\learning-service-next\src\models\SettingModel.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Code\2024\learning-service-next\src\models\UserModel.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 14, 107
"c:\Code\2024\learning-service-next\src\providers\AppProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 3, 12, 61
"c:\Code\2024\learning-service-next\src\repositories\CourseRepository.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 10, 54
"c:\Code\2024\learning-service-next\src\repositories\EnrollmentRepository.ts", "TypeScript", 0, 0, 0, 106, 0, 0, 0, 0, 0, 12, 118
"c:\Code\2024\learning-service-next\src\repositories\ImageRepository.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 13, 68
"c:\Code\2024\learning-service-next\src\repositories\PaymentRepository.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 62
"c:\Code\2024\learning-service-next\src\repositories\SettingRepository.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 13, 83
"c:\Code\2024\learning-service-next\src\repositories\UserCourseRepository.ts", "TypeScript", 0, 0, 0, 181, 0, 0, 0, 0, 0, 11, 192
"c:\Code\2024\learning-service-next\src\repositories\UserRepository.ts", "TypeScript", 0, 0, 0, 137, 0, 0, 0, 0, 1, 27, 165
"c:\Code\2024\learning-service-next\src\repositories\index.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 2, 16
"c:\Code\2024\learning-service-next\src\services\CourseService.ts", "TypeScript", 0, 0, 0, 149, 0, 0, 0, 0, 5, 35, 189
"c:\Code\2024\learning-service-next\src\services\EnrollmentService.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 13, 68
"c:\Code\2024\learning-service-next\src\services\ImageService.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 12, 59
"c:\Code\2024\learning-service-next\src\services\PaymentService.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 1, 15, 86
"c:\Code\2024\learning-service-next\src\services\SettingService.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 9, 69
"c:\Code\2024\learning-service-next\src\services\UserService.ts", "TypeScript", 0, 0, 0, 110, 0, 0, 0, 0, 4, 23, 137
"c:\Code\2024\learning-service-next\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Code\2024\learning-service-next\src\types\next-auth.d.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 1, 3, 19
"c:\Code\2024\learning-service-next\src\types\types.d.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 1, 3, 12
"c:\Code\2024\learning-service-next\src\utils\auth.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 7, 2, 17
"c:\Code\2024\learning-service-next\src\utils\db.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 10, 43
"c:\Code\2024\learning-service-next\src\utils\menuUtils.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"c:\Code\2024\learning-service-next\src\utils\stripe.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\Code\2024\learning-service-next\tailwind.config.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Code\2024\learning-service-next\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 9071, 6, 26, 3407, 2139, 22, 45, 6805, 137, 1331, 22989